"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/01","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51600","51600","51600","51200","51600","51600","51200","51200","51200","51600","51200","51200","51200","51600","51200","51200","51200","51200","51600","51200","51200","51600","51200","51200","51600","51200","51200","51600","51200","51600","51600","51600","51600","51600","51600","2469200","2025/01/02 15:31:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/01","37000","37000","37000","37000","37000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","36000","37000","36000","37000","36000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","1770000","2025/01/02 15:31:06"
"42136","中部","四日市霞発電所","単独","その他","2025/01/01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/02 15:31:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/01","73327","73102","72178","70399","69078","69995","72575","72414","73077","73065","71789","70479","72120","72715","72807","72328","72796","72542","70459","68304","68645","69013","67210","69171","70961","69771","68083","67629","69921","71707","71861","72109","72367","72198","70862","67888","67799","68574","71973","72074","71796","71562","69822","67571","67710","68581","70839","71357","3394603","2025/01/02 15:31:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/01","10033","10361","10618","10655","10582","10780","10646","10622","10605","10175","10038","9608","9530","9733","10693","9439","8868","9395","10026","10205","10420","10794","10125","10268","10284","10035","10416","10664","10153","10082","9868","10605","10187","10780","10973","10854","10968","10971","10866","11041","11455","11320","10774","10799","11302","10930","11126","10572","501244","2025/01/02 15:31:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/01","47000","47000","47000","46000","47000","48000","47000","47000","47000","46000","47000","46000","46000","47000","47000","47000","48000","50000","48000","47000","47000","46000","46000","47000","48000","47000","48000","47000","46000","47000","48000","49000","48000","49000","47000","48000","46000","47000","46000","47000","47000","47000","47000","47000","48000","48000","48000","49000","2267000","2025/01/02 15:31:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/01","11000","10000","10000","11000","11000","10000","10000","11000","10000","11000","10000","11000","10000","11000","10000","11000","11000","10000","10000","11000","10000","11000","10000","11000","11000","10000","10000","11000","10000","11000","10000","11000","11000","10000","10000","11000","11000","10000","11000","10000","11000","10000","11000","10000","10000","10000","11000","10000","503000","2025/01/02 15:31:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/02","51600","51600","51600","51600","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51200","51200","51200","51200","51200","51200","51200","51600","51200","51200","51200","51200","51200","51600","51200","51600","51200","51200","51600","51200","51200","51200","51600","51200","51600","51200","51600","51600","51600","51600","2468000","2025/01/03 15:30:02"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/02","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","37000","37000","37000","37000","37000","37000","36000","37000","36000","37000","37000","37000","36000","37000","37000","36000","37000","37000","36000","37000","36000","37000","36000","37000","36000","37000","37000","37000","37000","37000","36000","37000","37000","37000","36000","37000","1764000","2025/01/03 15:30:02"
"42136","中部","四日市霞発電所","単独","その他","2025/01/02","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/03 15:30:02"
