時刻,四日市霞発電所,大分 第２発電所,水島製油所　B工場,田原バイオマス発電所,相生バイオマス発電所,福島いわきバイオマス発電所,鹿島発電所,麻里布 第２発電所
2025/1/1 1:00,0,21000,20394,,146429,103200,74000,94000
2025/1/1 2:00,0,21000,21273,,142577,103200,74000,93000
2025/1/1 3:00,0,21000,21362,,139073,103200,74000,95000
2025/1/1 4:00,0,21000,21268,,144989,103200,73000,94000
2025/1/1 5:00,0,21000,20780,,146142,103200,74000,93000
2025/1/1 6:00,0,21000,19646,,142268,102800,74000,93000
2025/1/1 7:00,0,21000,19263,,144835,103200,74000,93000
2025/1/1 8:00,0,21000,20132,,145135,103200,74000,94000
2025/1/1 9:00,0,21000,18263,,145338,102800,74000,98000
2025/1/1 10:00,0,21000,20231,,138763,102800,74000,95000
2025/1/1 11:00,0,21000,21214,,137658,102400,74000,93000
2025/1/1 12:00,0,21000,20393,,136381,102800,74000,93000
2025/1/1 13:00,0,21000,20319,,140732,102400,74000,95000
2025/1/1 14:00,0,21000,21080,,135712,102800,74000,95000
2025/1/1 15:00,0,21000,20235,,141628,102400,74000,93000
2025/1/1 16:00,0,21000,20473,,143970,102800,73000,97000
2025/1/1 17:00,0,21000,20967,,144565,102400,73000,97000
2025/1/1 18:00,0,21000,21827,,138750,102800,73000,95000
2025/1/1 19:00,0,21000,21939,,136373,102800,73000,93000
2025/1/1 20:00,0,21000,21907,,144047,102400,73000,93000
2025/1/1 21:00,0,21000,22775,,143358,102800,74000,94000
2025/1/1 22:00,0,21000,21573,,137393,103200,74000,94000
2025/1/1 23:00,0,20000,22232,,136291,103200,74000,96000
2025/1/2 0:00,0,21000,21698,,142196,103200,74000,97000
2025/1/2 1:00,0,20000,20875,,142174,103200,73000,95000
2025/1/2 2:00,0,21000,23230,,136645,103200,74000,95000
2025/1/2 3:00,0,21000,23606,,136250,103200,74000,98000
2025/1/2 4:00,0,21000,23282,,144453,102800,74000,94000
2025/1/2 5:00,0,21000,23601,,144018,103200,74000,92000
2025/1/2 6:00,0,21000,23502,,139177,103200,73000,94000
2025/1/2 7:00,0,21000,21933,,144817,103200,74000,96000
2025/1/2 8:00,0,21000,24302,,143175,102800,74000,95000
2025/1/2 9:00,0,20000,23467,,142596,103200,74000,92000
2025/1/2 10:00,0,20000,23020,,136631,102400,73000,93000
2025/1/2 11:00,0,20000,23834,,136353,102400,73000,92000
2025/1/2 12:00,0,21000,22692,,143062,102400,74000,94000
2025/1/2 13:00,0,20000,22898,,143840,102800,73000,96000
2025/1/2 14:00,0,20000,23165,,137494,102400,73000,100000
2025/1/2 15:00,0,20000,21374,,140996,102400,74000,94000
2025/1/2 16:00,0,21000,20621,,143068,102800,73000,92000
2025/1/2 17:00,0,21000,18820,,142002,102800,73000,92000
2025/1/2 18:00,0,20000,20776,,136699,102400,73000,92000
2025/1/2 19:00,0,21000,20948,,135333,102800,73000,94000
2025/1/2 20:00,0,21000,21183,,141835,102400,74000,94000
2025/1/2 21:00,0,21000,20591,,142922,102800,74000,98000
2025/1/2 22:00,0,21000,19500,,137555,102800,73000,92000
2025/1/2 23:00,0,21000,18753,,135940,103200,74000,92000
2025/1/3 0:00,0,21000,20167,,141722,103200,73000,91000
2025/1/3 1:00,0,20000,20349,,144288,103200,73000,93000
2025/1/3 2:00,0,21000,20275,,139431,103200,73000,93000
2025/1/3 3:00,0,20000,19507,,136623,103200,74000,94000
2025/1/3 4:00,0,21000,20427,,142916,103200,74000,96000
2025/1/3 5:00,0,20000,20133,,142078,103200,74000,95000
2025/1/3 6:00,0,21000,19784,,137539,103200,74000,97000
2025/1/3 7:00,0,20000,19006,,142210,103200,74000,96000
2025/1/3 8:00,0,20000,19595,,143237,103200,74000,96000
2025/1/3 9:00,0,20000,19782,,141966,102800,74000,97000
2025/1/3 10:00,0,20000,21807,,135938,103200,74000,96000
2025/1/3 11:00,0,21000,19523,,136102,102800,74000,96000
2025/1/3 12:00,0,21000,22204,,143267,103200,74000,95000
2025/1/3 13:00,0,21000,22567,,143067,103200,74000,94000
2025/1/3 14:00,0,21000,23877,,136102,102800,74000,94000
2025/1/3 15:00,0,21000,22183,,140957,102800,74000,95000
2025/1/3 16:00,0,21000,21638,,142632,103200,73000,96000
2025/1/3 17:00,0,20000,20499,,141886,103200,74000,97000
2025/1/3 18:00,0,20000,19654,,136429,103200,74000,98000
2025/1/3 19:00,0,20000,18914,,135611,102800,74000,97000
2025/1/3 20:00,0,20000,19068,,141848,103200,74000,96000
2025/1/3 21:00,0,20000,18779,,142171,102400,74000,95000
2025/1/3 22:00,0,20000,17149,,137243,102800,74000,94000
2025/1/3 23:00,0,20000,16841,,134707,102400,74000,94000
2025/1/4 0:00,0,20000,17343,,139138,102800,74000,94000
