,Hokkaido,Tohoku,Tokyo,Chubu,Hokuriku,Kansai,Chugoku,Shikoku,Kyusyu
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.019,0.089,0.129,0.143,0.012,0.089,0.028,0.054,0.006
2024-01-01 08:00:00,0.117,0.309,0.371,0.366,0.105,0.313,0.241,0.284,0.16
2024-01-01 09:00:00,0.252,0.509,0.56,0.572,0.329,0.549,0.502,0.513,0.353
2024-01-01 10:00:00,0.375,0.606,0.667,0.694,0.422,0.649,0.636,0.636,0.536
2024-01-01 11:00:00,0.391,0.665,0.705,0.746,0.524,0.709,0.695,0.696,0.571
2024-01-01 12:00:00,0.328,0.637,0.696,0.735,0.573,0.71,0.705,0.698,0.604
2024-01-01 13:00:00,0.192,0.557,0.616,0.663,0.547,0.639,0.666,0.651,0.584
2024-01-01 14:00:00,0.103,0.371,0.465,0.523,0.414,0.522,0.55,0.542,0.513
2024-01-01 15:00:00,0.021,0.135,0.233,0.304,0.216,0.313,0.361,0.315,0.344
2024-01-01 16:00:00,0.0,0.0,0.008,0.052,0.018,0.078,0.101,0.075,0.097
2024-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 07:00:00,0.002,0.069,0.026,0.003,0.05,0.128,0.032,0.067,0.017
2024-01-02 08:00:00,0.041,0.322,0.115,0.066,0.212,0.361,0.245,0.312,0.232
2024-01-02 09:00:00,0.085,0.49,0.16,0.292,0.405,0.562,0.479,0.523,0.447
2024-01-02 10:00:00,0.116,0.588,0.196,0.471,0.557,0.681,0.627,0.648,0.59
2024-01-02 11:00:00,0.119,0.609,0.197,0.635,0.658,0.733,0.704,0.713,0.662
2024-01-02 12:00:00,0.104,0.518,0.197,0.669,0.683,0.725,0.712,0.718,0.68
2024-01-02 13:00:00,0.074,0.34,0.111,0.626,0.614,0.658,0.657,0.657,0.621
2024-01-02 14:00:00,0.039,0.184,0.056,0.49,0.472,0.527,0.537,0.529,0.481
2024-01-02 15:00:00,0.003,0.061,0.021,0.277,0.229,0.314,0.333,0.326,0.261
2024-01-02 16:00:00,0.0,0.0,0.0,0.044,0.02,0.075,0.085,0.078,0.068
